-38.03	Yaw : -3.82	Label : 3
Roll : 8.45	Pitch : -65.61	Yaw : -0.96	Label : 3
Roll : 8.40	Pitch : -66.27	Yaw : -0.79	Label : 3
Roll : 8.50	Pitch : -66.49	Yaw : -0.91	Label : 3
Roll : 8.30	Pitch : -67.01	Yaw : -0.83	Label : 3
Roll : 8.54	Pitch : -67.22	Yaw : -1.04	Label : 3
Roll : 8.55	Pitch : -67.26	Yaw : -0.93	Label : 3
Roll : 8.31	Pitch : -67.47	Yaw : -0.75	Label : 3
Roll : 7.96	Pitch : -67.93	Yaw : -0.67	Label : 3
Roll : 8.27	Pitch : -68.60	Yaw : -0.96	Label : 3
Roll : 8.19	Pitch : -68.79	Yaw : -1.19	Label : 3
Roll : 8.34	Pitch : -69.19	Yaw : -1.38	Label : 3
Roll : 8.45	Pitch : -68.80	Yaw : -1.46	Label : 3
Roll : 8.39	Pitch : -69.10	Yaw : -1.57	Label : 3
Roll : 8.37	Pitch : -69.02	Yaw : -1.70	Label : 3
Roll : 8.51	Pitch : -69.31	Yaw : -1.91	Label : 3
Roll : 8.67	Pitch : -69.39	Yaw : -2.02	Label : 3
Roll : 8.76	Pitch : -69.34	Yaw : -1.91	Label : 3
Roll : 8.68	Pitch : -69.21	Yaw : -1.87	Label : 3
Roll : 8.70	Pitch : -69.07	Yaw : -1.89	Label : 3
Roll : 8.55	Pitch : -69.44	Yaw : -1.87	Label : 3
Roll : 8.46	Pitch : -68.92	Yaw : -1.92	Label : 3
Roll : 8.47	Pitch : -69.62	Yaw : -1.88	Label : 3
Roll : 8.52	Pitch : -68.80	Yaw : -1.97	Label : 3
Roll : 8.38	Pitch : -69.10	Yaw : -2.01	Label : 3
Roll : 8.59	Pitch : -68.93	Yaw : -2.02	Label : 3
Roll : 8.67	Pitch : -69.25	Yaw : -2.03	Label : 3
Roll : 8.83	Pitch : -68.88	Yaw : -2.11	Label : 3
Roll : 8.89	Pitch : -69.18	Yaw : -1.99	Label : 3
Roll : 8.92	Pitch : -68.86	Yaw : -2.06	Label : 3
Roll : 8.77	Pitch : -69.00	Yaw : -2.06	Label : 3
Roll : 8.91	Pitch : -68.79	Yaw : -2.08	Label : 3
Roll : 8.89	Pitch : -69.16	Yaw : -2.04	Label : 3
Roll : 9.04	Pitch : -69.13	Yaw : -2.07	Label : 3
Roll : 9.02	Pitch : -69.13	Yaw : -2.08	Label : 3
Roll : 8.84	Pitch : -69.43	Yaw : -2.17	Label : 3
Roll : 8.86	Pitch : -70.03	Yaw : -2.34	Label : 3
Roll : 9.10	Pitch : -70.01	Yaw : -2.43	Label : 3
